上,海,黄,金,交,易,所,行,情
品种,最新价,开盘价,最高价,最低价,涨跌,昨日收价,总成交量,更新时间
Au 100g,0.00,0.00,0.00,0.00,0.00,266.29,0.0,18-09-17 11:27
Au99.99,0.00,0.00,0.00,0.00,0.00,265.69,0.0,18-09-17 11:29
Au 99.95,0.00,0.00,0.00,0.00,0.00,265.53,0.0,18-09-17 11:23
Au(T+D),0.00,0.00,0.00,0.00,0.00,265.58,0.0,18-09-17 11:29
Au(T+N1),0.00,0.00,0.00,0.00,0.00,271.55,0.0,18-09-16 06:44
Au(T+N2),0.00,0.00,0.00,0.00,0.00,267.35,0.0,18-09-17 09:55
Ag(T+D),0.00,0.00,0.00,0.00,0.00,3401.00,0.0,18-09-17 11:29
Pt99.95,0.00,0.00,0.00,0.00,0.00,188.96,0.0,18-09-17 11:22
黄,金,现,货
,买入/卖出,263.74,263.96
,最低/最高,263.14,264.42
,变动,+0.64,+0.24%
,30日变动,+2.51,+0.96%
,1年变动,-27.17,-9.34%
"
				2018-9-17 19:31:24
            北京时间"
银,及,铂,族,金,属
,,人民币/克
,金属,价格,变动
 ,白银,3.12,+0.86%
 ,铂,175.53,+0.51%
 ,钯,215.66,+0.31%
 ,铑,497.26,+0.00%
," 
          	2018-9-17 19:31:24
           北京时间"
